_init_proc	.init	08049DD4	00000017	0000000C		R	.	.	.	.	.	B	.	.
NPC_clearGlobalFlag_T	.text	0813DE10	00000035	00000008	00000008	R	.	.	.	.	.	B	T	.
NPC_setLocalFlag	.text	0813DE50	00000035	00000008	00000008	R	.	.	.	.	.	B	T	.
NPC_getLocalFlag	.text	0813DE90	00000035	00000008	00000008	R	.	.	.	.	.	B	T	.
NPC_clearLocalFlag	.text	0813DED0	00000035	00000008	00000008	R	.	.	.	.	.	B	T	.
NPC_getLocalCounter	.text	0813DF10	00000013	00000004	00000008	R	.	.	.	.	.	B	T	.
NPC_setLocalCounter	.text	0813DF30	00000015	00000004	0000000C	R	.	.	.	.	.	B	T	.
NPC_addLocalCounter	.text	0813DF50	0000001F	00000004	0000000C	R	.	.	.	.	.	B	T	.
NPC_subLocalCounter	.text	0813DF70	00000020	00000004	00000009	R	.	.	.	.	.	B	T	.
NPC_getWorkPointer	.text	0813DF90	0000001A	00000004	00000004	R	.	.	.	.	.	B	T	.
NPC_getGlobalFlagGA	.text	0813DFB0	0000008E	0000003C	00000008	R	.	.	.	.	.	B	T	.
NPC_clearGlobalFlagGA	.text	0813E040	0000006C	0000003C	00000008	R	.	.	.	.	.	B	T	.
NPC_setGlobalFlagGA	.text	0813E0B0	00000061	0000003C	00000008	R	.	.	.	.	.	B	T	.
NPC_Util_getDirFromTwoChar	.text	0813E120	00000094	0000001C	00000008	R	.	.	.	.	.	B	T	.
NPC_Util_NpcKill	.text	0813E1C0	000000D9	0000002C	00000004	R	.	.	.	.	.	B	T	.
NPC_CreateExtraNpc	.text	0813E2A0	000002E7	0000006C	0000001C	R	.	.	.	.	.	B	T	.
NPC_Util_DeleteWarpFromPos	.text	0813E590	0000008A	0000001C	00000010	R	.	.	.	.	.	B	T	.
NPC_Util_SetFromArg	.text	0813E620	000000D8	000010AC	00000010	R	.	.	.	.	.	B	T	.
NPC_getBankItemCount	.text	0813E700	00000070	0000002C	00000008	R	.	.	.	.	.	B	T	.
NPC_doHaveSkill	.text	0813E770	0000004D	0000002C	00000004	R	.	.	.	.	.	B	T	.
NPC_getRandom	.text	0813E7C0	0000008D	0000001C	00000010	R	.	.	.	.	.	B	T	.
NPC_Util_RandomToken	.text	0813E850	00000075	0000002C	0000000C	R	.	.	.	.	.	B	T	.
NPC_Util_charIsInFrontOfChar	.text	0813E8D0	00000094	0000003C	0000000C	R	.	.	.	.	.	B	T	.
NPC_Util_isFaceToChara	.text	0813E970	00000094	0000003C	0000000C	R	.	.	.	.	.	B	T	.
NPC_Util_isFaceToFace	.text	0813EA10	000000D9	0000003C	0000000C	R	.	.	.	.	.	B	T	.
NPC_Util_isBackContact	.text	0813EAF0	0000009C	0000003C	00000008	R	.	.	.	.	.	B	T	.
NPC_Util_OtherCharCheck	.text	0813EB90	00000067	0000002C	00000010	R	.	.	.	.	.	B	T	.
NPC_Util_FrontChar	.text	0813EC00	000000E5	0000003C	00000004	R	.	.	.	.	.	B	T	.
NPC_Util_FrontItem	.text	0813ECF0	000000C6	0000003C	00000004	R	.	.	.	.	.	B	T	.
NPC_Util_IsVisiblePlayer	.text	0813EDC0	00000131	0000004C	00000004	R	.	.	.	.	.	B	T	.
SearchNearLine	.text	0813EF00	000000F7	0000003C	00000014	R	.	.	.	.	.	B	T	.
NPC_Util_SearchNear	.text	0813F000	0000021A	0000006C	0000000C	R	.	.	.	.	.	B	T	.
NPC_Util_SearchNearEnemy	.text	0813F220	00000022	0000001C	00000008	R	.	.	.	.	.	B	T	.
NPC_Util_SearchNearPlayer	.text	0813F250	00000022	0000001C	00000008	R	.	.	.	.	.	B	T	.
cutDotsTail	.text	0813F280	00000042	0000000C	00000004	R	.	.	.	.	.	B	T	.
NPC_Util_GetStrFromStrWithDelim	.text	0813F2D0	000000F3	0000082C	00000010	R	.	.	.	.	.	B	T	.
NPC_Util_GetNumFromStrWithDelim	.text	0813F3D0	0000007D	0000004C	00000008	R	.	.	.	.	.	B	T	.
NPC_Util_SuberiWalk	.text	0813F450	0000018E	0000004C	00000008	R	.	.	.	.	.	B	T	.
NPC_Util_WalkCharToChar	.text	0813F5E0	00000081	0000001C	00000010	R	.	.	.	.	.	B	T	.
NPC_Util_AnnounceFloor	.text	0813F670	0000006A	0000001C	0000000C	R	.	.	.	.	.	B	T	.
NPC_Util_YN	.text	0813F6E0	000000A1	0000002C	00000004	R	.	.	.	.	.	B	T	.
NPC_CHECKCREATEINDEX	.text	0813F790	00000034	00000004	00000004	R	.	.	.	.	.	B	T	.
NPC_CHECKCREATEINTINDEX	.text	0813F7D0	0000000E	00000004	00000004	R	.	.	.	.	.	B	T	.
NPC_getCreateInt	.text	0813F7E0	0000001B	00000004	00000008	R	.	.	.	.	.	B	T	.
NPC_createInitTime	.text	0813F800	0000002A	00000004	00000004	R	.	.	.	.	.	B	T	.
NPC_createCheckMaxEnemynum	.text	0813F830	00000021	00000004	00000004	R	.	.	.	.	.	B	T	.
NPC_SetArgBuffer	.text	0813F860	000000AF	0000001C	00000008	R	.	.	.	.	.	B	T	.
NPC_createNpcOne	.text	0813F910	00000316	0000003C	0000002C	R	.	.	.	.	.	B	T	.
NPC_initCreateArray	.text	0813FC30	00000047	0000001C	00000004	R	.	.	.	.	.	B	T	.
NPC_initToBossNpcSetting	.text	0813FC80	00000847	0000023C	00000004	R	.	.	.	.	.	B	T	.
NPC_create_makeWarp	.text	081404D0	0000053D	0000013C	00000050	R	.	.	.	.	.	B	T	.
NPC_CreateDuplicate	.text	08140A10	0000017E	0000001C	00000020	R	.	.	.	.	.	B	T	.
NPC_create_makeMineMasterNpc	.text	08140B90	0000023C	000000EC	00000028	R	.	.	.	.	.	B	T	.
NPC_create_makeEventNpc	.text	08140DD0	0000032C	000000CC	00000020	R	.	.	.	.	.	B	T	.
NPC_create_makeBoss	.text	08141100	0000034F	000002EC	0000003C	R	.	.	.	.	.	B	T	.
NPC_create_makeAutoItemBox	.text	08141450	0000021A	0000014C	0000002C	R	.	.	.	.	.	B	T	.
NPC_create_makeAutoNpc	.text	08141670	000001E5	0000004C	0000001C	R	.	.	.	.	.	B	T	.
NPC_ResetArgBuffer	.text	08141860	0000004D	0000001C	00000004	R	.	.	.	.	.	B	T	.
NPC_readNpcFile	.text	081418B0	00000558	0001403C		R	.	.	.	.	.	B	T	.
NPC_readNPCSettingFiles	.text	08141E10	0000024E	0001002C		R	.	.	.	.	.	B	T	.
NPC_createCheckGenerateFromTime	.text	08142060	00000075	00000008	00000004	R	.	.	.	.	.	B	T	.
NPC_create_delete	.text	081420E0	0000008B	0000001C	0000000C	R	.	.	.	.	.	B	T	.
NPC_create_dumpCreateOne	.text	08142170	0000043E	0001013C	0000000C	R	.	.	.	.	.	B	T	.
NPC_create_dumpCreate	.text	081425B0	00000459	0001013C	00000008	R	.	.	.	.	.	B	T	.
NPC_createDecreaseEnemynum	.text	08142A10	0000002F	00000004	00000004	R	.	.	.	.	.	B	T	.
NPC_createIncreaseEnemynum	.text	08142A40	0000002F	00000004	00000004	R	.	.	.	.	.	B	T	.
NPC_TimeWarpCheck	.text	08142A70	00000058	0000002C	00000004	R	.	.	.	.	.	B	T	.
NPC_WarpLoop	.text	08142AD0	000000AD	0000001C	00000004	R	.	.	.	.	.	B	T	.
NPC_WarpCheckWarp	.text	08142B80	0000013E	0000004C	00000008	R	.	.	.	.	.	B	T	.
NPC_WarpDummyWarp	.text	08142CC0	00000104	0000005C	00000008	R	.	.	.	.	.	B	T	.
NPC_WarpWarpCharacter	.text	08142DD0	00000247	0000015C	00000008	R	.	.	.	.	.	B	T	.
NPC_WarpsetNeverMake	.text	08143020	00000035	0000000C		R	.	.	.	.	.	B	T	.
NPC_WarpInit	.text	08143060	000007BC	000000DC	00000004	R	.	.	.	.	.	B	T	.
NPC_JobsmasterInit	.text	08143820	00000014	00000004	00000004	R	.	.	.	.	.	B	T	.
IsBattleJob	.text	08143840	00000013	00000004		R	.	.	.	.	.	B	T	.
NPC_Jobsmaster_SaveJob_Result	.text	08143860	0000021F	0000013C	0000000C	R	.	.	.	.	.	B	T	.
get_arg_0	.text	08143A80	00000085	0000010C		R	.	.	.	.	.	B	T	.
NPC_Jobsmaster_AskJob_Result	.text	08143B10	0000021C	0000083C	00000008	R	.	.	.	.	.	B	T	.
NPC_JobsmasterWindowTalked	.text	08143D30	000000C6	0000002C	00000014	R	.	.	.	.	.	B	T	.
job_change	.text	08143E00	000000D8	0000042C		R	.	.	.	.	.	B	T	.
tenshoku_check_next	.text	08143EE0	0000000F	00000004	00000008	R	.	.	.	.	.	B	T	.
rankup_ok	.text	08143EF0	00000607	0000049C	00000014	R	.	.	.	.	.	B	T	.
clear_rankup_event_flg	.text	08144500	0000002B	0000001C		R	.	.	.	.	.	B	T	.
tenshoku_ok	.text	08144530	00000600	0000064C	00000014	R	.	.	.	.	.	B	T	.
menu_select	.text	08144B30	00000E58	00000ABC	00000014	R	.	.	.	.	.	B	T	.
List_Select	.text	08145990	0000019C	0000042C	00000014	R	.	.	.	.	.	B	T	.
NPC_JobsmasterDspWindow	.text	08145B30	000001CC	0000044C		R	.	.	.	.	.	B	T	.
Myjobs_Select	.text	08145D00	00000096	0000001C	00000008	R	.	.	.	.	.	B	T	.
List_Next_Click	.text	08145DA0	0000001E	00000004	00000008	R	.	.	.	.	.	B	T	.
List_Prev_Click	.text	08145DC0	0000001E	00000004	00000008	R	.	.	.	.	.	B	T	.
NPC_JobsmasterTalked	.text	08145DE0	00000141	0000042C	00000008	R	.	.	.	.	.	B	T	.
NPC_SkillmasterInit	.text	08145F30	0000000A	00000004		R	.	.	.	.	.	B	T	.
NPC_SkillmasterWindowTalked	.text	08145F40	000000A2	0000002C	00000014	R	.	.	.	.	.	B	T	.
get_arg_1	.text	08145FF0	00000085	0000010C		R	.	.	.	.	.	B	T	.
NPC_SkillmasterDspWindow_MyJobs	.text	08146080	00000305	0000053C		R	.	.	.	.	.	B	T	.
Myskill_kill_skill_no	.text	08146390	0000000F	00000004	00000008	R	.	.	.	.	.	B	T	.
NPC_SkillmasterDspWindow	.text	081463A0	0000016B	0000052C		R	.	.	.	.	.	B	T	.
Myskill_kill_skill	.text	08146510	000000E7	0000042C	00000014	R	.	.	.	.	.	B	T	.
check_pet_param	.text	08146600	00000088	0000001C		R	.	.	.	.	.	B	T	.
centering	.text	08146690	00000111	0000051C		R	.	.	.	.	.	B	T	.
Myskill_kill_skill_yes	.text	081467B0	000001F0	0000043C	00000008	R	.	.	.	.	.	B	T	.
MyJobs_Select	.text	081469A0	0000049D	0000043C	00000014	R	.	.	.	.	.	B	T	.
List_Select_0	.text	08146E40	000002D7	0000052C	00000014	R	.	.	.	.	.	B	T	.
NPC_SkillmasterTalked	.text	08147120	0000007E	0000001C	00000008	R	.	.	.	.	.	B	T	.
NPC_TownPeopleTalked	.text	081471A0	0000008C	0000001C	00000010	R	.	.	.	.	.	B	T	.
NPC_TownPeopleInit	.text	08147230	0000017D	000000BC	00000004	R	.	.	.	.	.	B	T	.
NPC_BoltacInit	.text	081473B0	0000000A	00000004		R	.	.	.	.	.	B	T	.
NPC_BoltacTalked	.text	081473C0	0000022F	000001AC	0000000C	R	.	.	.	.	.	B	T	.
BuyMenu_Select	.text	081475F0	00000101	0000015C	00000014	R	.	.	.	.	.	B	T	.
NPC_Itemshop_DspMenuWindow	.text	08147700	000000B4	0000012C	00000008	R	.	.	.	.	.	B	T	.
MENU_Select	.text	081477C0	000002FF	0000846C	00000014	R	.	.	.	.	.	B	T	.
NPC_ItemshopWindowTalked	.text	08147AC0	000000C5	0000002C	00000014	R	.	.	.	.	.	B	T	.
NPC_ItemshopTalked	.text	08147B90	00000063	0000001C	00000008	R	.	.	.	.	.	B	T	.
NPC_ItemshopInit	.text	08147C00	000002F7	000000BC	00000004	R	.	.	.	.	.	B	T	.
NPC_HealerInit	.text	08147F00	00000014	00000004	00000004	R	.	.	.	.	.	B	T	.
healing	.text	08147F20	000000E8	0000002C		R	.	.	.	.	.	B	T	.
NPC_HealerTalked	.text	08148010	000001A9	0000012C	00000008	R	.	.	.	.	.	B	T	.
strncmp2	.text	081481C0	00000037	0000000C		R	.	.	.	.	.	B	T	.
check_num	.text	08148200	00000025	00000004		R	.	.	.	.	.	B	T	.
get_num	.text	08148230	00000054	00000008		R	.	.	.	.	.	B	T	.
get_num2	.text	08148290	00000067	00000010		R	.	.	.	.	.	B	T	.
ItemWondowTaked	.text	08148300	0000006B	0000002C	00000010	R	.	.	.	.	.	B	T	.
NPC_EventEnemyLoop	.text	08148370	00000080	0000001C	00000004	R	.	.	.	.	.	B	T	.
NPC_Event_Enemy_Dying	.text	081483F0	000002BA	0000003C	00000008	R	.	.	.	.	.	B	T	.
check_window_label	.text	081486B0	00000052	0000001C		R	.	.	.	.	.	B	T	.
get_ch_com	.text	08148710	00000137	0000008C		R	.	.	.	.	.	B	T	.
check_have_item	.text	08148850	00000092	0000002C		R	.	.	.	.	.	B	T	.
count_item	.text	081488F0	000000B8	0000002C		R	.	.	.	.	.	B	T	.
check_haveitemid_place	.text	081489B0	00000069	0000002C		R	.	.	.	.	.	B	T	.
possible_crypto_2	.text	08148A20	000025FF	000000BC	00000008	R	.	.	.	.	.	B	T	.
analyse_block	.text	0814B020	000003F5	000000AC	00000008	R	.	.	.	.	.	B	T	.
f_get	.text	0814B420	00000038	0000000C		R	.	.	.	.	.	B	T	.
get_line	.text	0814B460	000000F6	0000001C		R	.	.	.	.	.	B	T	.
skipToNextBlock	.text	0814B560	0000010B	0000042C	00000004	R	.	.	.	.	.	B	T	.
set_event_flg	.text	0814B670	000000F6	0000003C		R	.	.	.	.	.	B	T	.
select_rnd3	.text	0814B770	00000238	00000C4C		R	.	.	.	.	.	B	T	.
set_item	.text	0814B9B0	000003CC	0000015C		R	.	.	.	.	.	B	T	.
set_dur	.text	0814BD80	00000380	0000016C		R	.	.	.	.	.	B	T	.
kill_item_all	.text	0814C100	0000036F	0000015C		R	.	.	.	.	.	B	T	.
kill_drugitem	.text	0814C470	0000037A	0000015C		R	.	.	.	.	.	B	T	.
kill_item	.text	0814C7F0	00000425	0000015C	0000000C	R	.	.	.	.	.	B	T	.
warp	.text	0814CC20	000002D6	0000015C		R	.	.	.	.	.	B	T	.
make_pet	.text	0814CF00	0000043C	0000095C		R	.	.	.	.	.	B	T	.
kill_pet_l	.text	0814D340	00000305	0000015C		R	.	.	.	.	.	B	T	.
kill_pet_h	.text	0814D650	00000305	0000015C		R	.	.	.	.	.	B	T	.
send_palette	.text	0814D960	000000BC	0000003C		R	.	.	.	.	.	B	T	.
give_recipe	.text	0814DA20	0000011D	0000013C		R	.	.	.	.	.	B	T	.
set_house	.text	0814DB40	000000CC	0000003C		R	.	.	.	.	.	B	T	.
play_se	.text	0814DC10	000000CB	0000003C		R	.	.	.	.	.	B	T	.
set_object	.text	0814DCE0	000000E5	0000005C		R	.	.	.	.	.	B	T	.
setlp_char	.text	0814DDD0	000000A5	0000002C		R	.	.	.	.	.	B	T	.
setfeverhavetime	.text	0814DE80	000001D5	0000003C		R	.	.	.	.	.	B	T	.
setfeverflg	.text	0814E060	000000A9	0000003C		R	.	.	.	.	.	B	T	.
setFlagEx	.text	0814E110	00000132	0000003C		R	.	.	.	.	.	B	T	.
setLocalCounter	.text	0814E250	000002E0	0000009C	00000004	R	.	.	.	.	.	B	T	.
shapeNext	.text	0814E530	00000134	0000045C		R	.	.	.	.	.	B	T	.
shapeOff	.text	0814E670	000000C8	0000044C		R	.	.	.	.	.	B	T	.
shapeOn	.text	0814E740	000000C7	0000044C		R	.	.	.	.	.	B	T	.
moveTo	.text	0814E810	000001D6	000004AC		R	.	.	.	.	.	B	T	.
setFlagEx_T	.text	0814E9F0	00000129	0000003C		R	.	.	.	.	.	B	T	.
setFlagExGA	.text	0814EB20	000000CB	0000003C		R	.	.	.	.	.	B	T	.
EventWindowTalked	.text	0814EBF0	0000020A	000000DC	00000014	R	.	.	.	.	.	B	T	.
check_disp_on	.text	0814EE00	000000AF	0000002C		R	.	.	.	.	.	B	T	.
EventLoop	.text	0814EEB0	00000080	0000000C	00000004	R	.	.	.	.	.	B	T	.
EventInit	.text	0814EF30	000000B5	0000000C	00000004	R	.	.	.	.	.	B	T	.
encount_event_battle	.text	0814EFF0	00000A55	0000148C	0000000C	R	.	.	.	.	.	B	T	.
gotoF	.text	0814FA50	000000B5	0000045C	00000008	R	.	.	.	.	.	B	T	.
Event_centering	.text	0814FB10	00000124	0000051C	00000004	R	.	.	.	.	.	B	T	.
gotoB	.text	0814FC40	000000D5	0000045C	00000008	R	.	.	.	.	.	B	T	.
Event_insert_name	.text	0814FD20	00000796	0000016C	0000000C	R	.	.	.	.	.	B	T	.
disp_sysmessage	.text	081504C0	000000AE	0000043C		R	.	.	.	.	.	B	T	.
disp_windowGA	.text	08150570	000003B5	0000086C	00000004	R	.	.	.	.	.	B	T	.
disp_window	.text	08150930	000002EA	0000084C	00000004	R	.	.	.	.	.	B	T	.
giveItemEx	.text	08150C20	00000139	0000003C		R	.	.	.	.	.	B	T	.
disp_mes	.text	08150D60	000000BD	0000043C		R	.	.	.	.	.	B	T	.
possible_crypto_3	.text	08150E20	00002072	000002CC	00000010	R	.	.	.	.	.	B	T	.
read_command_fileItem	.text	08152EA0	00000290	0000045C	00000014	R	.	.	.	.	.	B	T	.
event_no_click2	.text	08153130	0000009C	0000002C	00000014	R	.	.	.	.	.	B	T	.
event_yes_click2	.text	081531D0	0000009C	0000002C	00000014	R	.	.	.	.	.	B	T	.
event_ok_click2	.text	08153270	0000009C	0000002C	00000014	R	.	.	.	.	.	B	T	.
event_prev_click2	.text	08153310	0000009F	0000002C	00000014	R	.	.	.	.	.	B	T	.
event_next_click2	.text	081533B0	0000009C	0000002C	00000014	R	.	.	.	.	.	B	T	.
read_command_fileEvent	.text	08153450	00000290	0000045C	00000018	R	.	.	.	.	.	B	T	.
event_no_click	.text	081536E0	0000003B	0000001C	00000014	R	.	.	.	.	.	B	T	.
event_yes_click	.text	08153720	0000003B	0000001C	00000014	R	.	.	.	.	.	B	T	.
event_ok_click	.text	08153760	0000003B	0000001C	00000014	R	.	.	.	.	.	B	T	.
event_prev_click	.text	081537A0	0000003E	0000001C	00000014	R	.	.	.	.	.	B	T	.
event_next_click	.text	081537E0	0000003B	0000001C	00000014	R	.	.	.	.	.	B	T	.
EventTalked	.text	08153820	000000C9	0000002C	0000000C	R	.	.	.	.	.	B	T	.
NPC_StandEnemyLoop	.text	081538F0	00000092	0000001C	00000004	R	.	.	.	.	.	B	T	.
NPC_Util_getEnemy	.text	08153990	00000181	0000004C	00000018	R	.	.	.	.	.	B	T	.
NPC_StandEnemy_BattleIn	.text	08153B20	000000C3	0000002C	00000008	R	.	.	.	.	.	B	T	.
NPC_StandEnemyInit	.text	08153BF0	00000423	0000002C	00000004	R	.	.	.	.	.	B	T	.
NPC_Util_GetDungeonSeqNo	.text	08154020	00000041	0000001C	00000004	R	.	.	.	.	.	B	T	.
NPC_StandEnemy_Dying	.text	08154070	000002BA	0000003C	00000008	R	.	.	.	.	.	B	T	.
NPC_StandEnemy_Encount	.text	08154330	00000503	0000047C	0000000C	R	.	.	.	.	.	B	T	.
NPC_StandEnemyTalked	.text	08154840	000000C8	0000002C	0000000C	R	.	.	.	.	.	B	T	.
NPC_BossBoxOpen	.text	08154910	00000162	0000005C	00000008	R	.	.	.	.	.	B	T	.
NPC_BossBoxInit	.text	08154A80	00000129	0000002C	00000004	R	.	.	.	.	.	B	T	.
NPC_PilotTalked	.text	08154BB0	00000636	0000029C	00000008	R	.	.	.	.	.	B	T	.
NPC_PilotInit	.text	081551F0	0000011D	0000002C	00000004	R	.	.	.	.	.	B	T	.
NPC_SkillmasterInit_d	.text	08155310	0000000A	00000004		R	.	.	.	.	.	B	T	.
NPC_SkillmasterWindowTalked_d	.text	08155320	000000A2	0000002C	00000014	R	.	.	.	.	.	B	T	.
NPC_SkillmasterDspWindow_MyJobs_0	.text	081553D0	00000237	0000043C		R	.	.	.	.	.	B	T	.
my_all_skill_back	.text	08155610	00000011	00000004	00000008	R	.	.	.	.	.	B	T	.
my_all_skill_next	.text	08155630	00000014	00000004	00000008	R	.	.	.	.	.	B	T	.
Myskill_kill_skill_no_0	.text	08155650	00000011	00000004	00000008	R	.	.	.	.	.	B	T	.
Myskill_kill_skill_yes_0	.text	08155670	00000160	0000042C	00000008	R	.	.	.	.	.	B	T	.
Myskill_kill_skill_0	.text	081557D0	000000BD	0000042C	00000014	R	.	.	.	.	.	B	T	.
Myskill_Select	.text	08155890	000001AD	0000043C	00000014	R	.	.	.	.	.	B	T	.
NPC_SkillmasterDspWindow_MySkill	.text	08155A40	0000022B	0000043C		R	.	.	.	.	.	B	T	.
Myskill_Next_Click	.text	08155C70	0000002E	0000000C	00000008	R	.	.	.	.	.	B	T	.
Myskill_Prev_Click	.text	08155CA0	0000002E	0000000C	00000008	R	.	.	.	.	.	B	T	.
MyJobs_Select_0	.text	08155CD0	000001C8	0000043C	00000014	R	.	.	.	.	.	B	T	.
NPC_Skillmaster_disp_all	.text	08155EA0	000001EB	0000054C		R	.	.	.	.	.	B	T	.
List_Select_1	.text	08156090	00000050	0000000C	00000014	R	.	.	.	.	.	B	T	.
List_Next_Click_0	.text	081560E0	0000001E	00000004	00000008	R	.	.	.	.	.	B	T	.
List_Prev_Click_0	.text	08156100	0000001E	00000004	00000008	R	.	.	.	.	.	B	T	.
NPC_SkillmasterTalked_d	.text	08156120	000002F0	0000042C	00000008	R	.	.	.	.	.	B	T	.
NPC_SimpleTradeTalked	.text	08156410	00000528	0000027C	00000008	R	.	.	.	.	.	B	T	.
NPC_SimpleTradeInit	.text	08156940	00000192	0000002C	00000004	R	.	.	.	.	.	B	T	.
strncmp2_0	.text	08156AE0	00000037	0000000C		R	.	.	.	.	.	B	T	.
check_num_0	.text	08156B20	00000025	00000004		R	.	.	.	.	.	B	T	.
get_num_0	.text	08156B50	00000054	00000008		R	.	.	.	.	.	B	T	.
get_num2_0	.text	08156BB0	00000067	00000010		R	.	.	.	.	.	B	T	.
WindowmanInit	.text	08156C20	00000014	00000004	00000004	R	.	.	.	.	.	B	T	.
WindowmanWindowTalked	.text	08156C40	000000D0	0000002C	00000014	R	.	.	.	.	.	B	T	.
f_get_0	.text	08156D10	00000038	0000000C		R	.	.	.	.	.	B	T	.
get_line_0	.text	08156D50	000000F6	0000001C		R	.	.	.	.	.	B	T	.
read_command_file	.text	08156E50	000005F1	00000C8C	00000008	R	.	.	.	.	.	B	T	.
windowman_cancel_click	.text	08157450	00000024	00000008	00000014	R	.	.	.	.	.	B	T	.
windowman_ok_click	.text	08157480	00000024	00000008	00000014	R	.	.	.	.	.	B	T	.
windowman_no_click	.text	081574B0	00000024	00000008	00000014	R	.	.	.	.	.	B	T	.
windowman_yes_click	.text	081574E0	00000024	00000008	00000014	R	.	.	.	.	.	B	T	.
windowman_prev_click	.text	08157510	00000024	00000008	00000014	R	.	.	.	.	.	B	T	.
windowman_next_click	.text	08157540	00000024	00000008	00000014	R	.	.	.	.	.	B	T	.
windowman_select_click	.text	08157570	00000024	00000008	00000014	R	.	.	.	.	.	B	T	.
WindowmanTalked	.text	081575A0	000000AF	0000001C	0000000C	R	.	.	.	.	.	B	T	.
get_num2_1	.text	08157650	00000067	00000010		R	.	.	.	.	.	B	T	.
check_num_1	.text	081576C0	00000025	00000004		R	.	.	.	.	.	B	T	.
NPC_Itemshop2WindowTalked	.text	081576F0	000000D4	0000002C	00000014	R	.	.	.	.	.	B	T	.
get_arg_2	.text	081577D0	00000095	0000010C		R	.	.	.	.	.	B	T	.
itemshop2_cancel_click	.text	08157870	00000195	0000052C	00000008	R	.	.	.	.	.	B	T	.
check_canbuy	.text	08157A10	000000FE	0000001C		R	.	.	.	.	.	B	T	.
itemshop2_buy_ok_click	.text	08157B10	00000443	0000055C	00000014	R	.	.	.	.	.	B	T	.
itemshop2_sell_ok_click	.text	08157F60	000006C3	0000055C	00000014	R	.	.	.	.	.	B	T	.
itemshop2_select_click	.text	08158630	00000D76	0000843C	00000014	R	.	.	.	.	.	B	T	.
NPC_Itemshop2Talked	.text	081593B0	000001E3	0000052C	00000008	R	.	.	.	.	.	B	T	.
check_disp_on_0	.text	081595A0	000000AF	0000002C		R	.	.	.	.	.	B	T	.
NPC_Itemshop2Loop	.text	08159650	00000072	0000000C	00000004	R	.	.	.	.	.	B	T	.
NPC_Itemshop2Init	.text	081596D0	000001AF	0000003C	00000004	R	.	.	.	.	.	B	T	.
NPC_MineMasterTalked	.text	08159880	000000CB	0000012C	00000008	R	.	.	.	.	.	B	T	.
NPC_MineMasterLoop	.text	08159950	000002D4	0000003C	00000004	R	.	.	.	.	.	B	T	.
NPC_MineMasterInit	.text	08159C30	00000146	0000002C	00000004	R	.	.	.	.	.	B	T	.
check_fp_lp_0_gold	.text	08159D80	00000014	00000004		R	.	.	.	.	.	B	T	.
get_price_fp_lp	.text	08159DA0	00000054	0000000C	00000004	R	.	.	.	.	.	B	T	.
get_price_lp	.text	08159E00	00000061	00000010		R	.	.	.	.	.	B	T	.
NPC_WindowhealerInit	.text	08159E70	00000014	00000004	00000004	R	.	.	.	.	.	B	T	.
NPC_WindowhealerWindowTalked	.text	08159E90	000000C6	0000002C	00000014	R	.	.	.	.	.	B	T	.
centering_0	.text	08159F60	00000146	0000051C		R	.	.	.	.	.	B	T	.
windowhealer_return_menu	.text	0815A0B0	000000B7	0000042C	00000008	R	.	.	.	.	.	B	T	.
windowhealer_select_no	.text	0815A170	000000B7	0000042C	00000008	R	.	.	.	.	.	B	T	.
windowhealer_select_pet_yes	.text	0815A230	000001BA	0000042C	00000008	R	.	.	.	.	.	B	T	.
windowhealer_select_fp_lp_yes	.text	0815A3F0	00000135	0000043C	00000008	R	.	.	.	.	.	B	T	.
windowhealer_select_lp_yes	.text	0815A530	0000014E	0000043C	00000008	R	.	.	.	.	.	B	T	.
windowhealer_select_none	.text	0815A680	00000878	0000054C	00000014	R	.	.	.	.	.	B	T	.
NPC_WindowhealerTalked	.text	0815AF00	000001A5	0000042C	00000008	R	.	.	.	.	.	B	T	.
get_price	.text	0815B0B0	0000007C	0000000C		R	.	.	.	.	.	B	T	.
NPC_InjurydoctorInit	.text	0815B130	00000014	00000004	00000004	R	.	.	.	.	.	B	T	.
NPC_InjurydoctorWindowTalked	.text	0815B150	000000A3	0000002C	00000014	R	.	.	.	.	.	B	T	.
get_arg_3	.text	0815B200	00000085	0000010C		R	.	.	.	.	.	B	T	.
centering_1	.text	0815B290	00000129	0000051C		R	.	.	.	.	.	B	T	.
injurydoctor_select_none	.text	0815B3C0	00000622	0000045C	00000014	R	.	.	.	.	.	B	T	.
NPC_InjurydoctorTalked	.text	0815B9F0	00000360	0000053C	00000008	R	.	.	.	.	.	B	T	.
NPC_Dengon_setMaxId	.text	0815BD50	00000018	0000000C	00000008	R	.	.	.	.	.	B	T	.
NPC_Dengon_getMaxId	.text	0815BD70	00000015	0000000C	00000004	R	.	.	.	.	.	B	T	.
NPC_DengonReadString_Main	.text	0815BD90	00000114	0000013C	00000004	R	.	.	.	.	.	B	T	.
NPC_DengonReadString	.text	0815BEB0	000002A0	0000095C	00000004	R	.	.	.	.	.	B	T	.
NPC_DengonTalked	.text	0815C150	000000E7	00000AAC	00000008	R	.	.	.	.	.	B	T	.
NPC_DengonWriteString	.text	0815C240	00000217	0000028C	00000008	R	.	.	.	.	.	B	T	.
NPC_DengonWindowTalked	.text	0815C460	000003EB	00000C0C	00000014	R	.	.	.	.	.	B	T	.
NPC_DengonInit	.text	0815C850	000003A9	0000029C	00000004	R	.	.	.	.	.	B	T	.
